0,128
1,140
2,152
3,165
4,176
5,188
6,198
7,208
8,218
9,226
10,234
11,240
12,245
13,250
14,253
15,250
16,245
17,240
18,234
19,226
20,218
21,208
22,198
23,188
24,176
25,165
26,152
27,140
28,128
29,115
30,103
31,90
32,79
33,67
34,57
35,47
36,37
37,29
38,21
39,15
40,10
41,5
42,2
43,1
44,2
45,5
46,10
47,15
48,21
49,29
50,37
51,47
52,57
53,67
54,79
55,90
56,103
57,115
58,128
59,140
60,152
61,165
62,176
63,188
64,198
65,208
66,218
67,226
68,234
69,240
70,245
71,250
72,253
73,250
74,245
75,240
76,234
77,226
78,218
79,208
80,198
81,188
82,176
83,165
84,152
85,140
86,128
87,115
88,103
89,90
90,79
91,67
92,57
93,47
94,37
95,29
96,21
97,15
98,10
99,5
100,2
101,1
102,2
103,5
104,10
105,15
106,21
107,29
108,37
109,47
110,57
111,67
112,79
113,90
114,103
115,115
116,128
117,140
118,152
119,165
120,176
121,188
122,198
123,208
124,218
125,226
126,234
127,240
128,245
129,250
130,253
131,250
132,245
133,240
134,234
135,226
136,218
137,208
138,198
139,188
140,176
141,165
142,152
143,140
144,128
145,115
146,103
147,90
148,79
149,67
150,57
151,47
152,37
153,29
154,21
155,15
156,10
157,5
158,2
159,1
160,2
161,5
162,10
163,15
164,21
165,29
166,37
167,47
168,57
169,67
170,79
171,90
172,103
173,115
174,128
175,140
176,152
177,165
178,176
179,188
180,198
181,208
182,218
183,226
184,234
185,240
186,245
187,250
188,253
189,250
190,245
191,240
192,234
193,226
194,218
195,208
196,198
197,188
198,176
199,165
